Program,Program_Name,Degree,Cert_Type,School,Department,Bill_Program_Flag,Interdisciplinary_Flag,Graduation_Flag,Office_Name,Program_Status,Program_Status_Date,Data_Refresh_Date
GCCSCA,COMPUTER SCIENCE,BA    ,CONCENTRATN ,GS  ,COMS,N,N,Y,Computer Science,A,3/17/2014 0:00,2/7/2023 5:08
GDCOMS,COMPUTER SCIENCE,PHD   ,MAJOR       ,GF  ,COMS,Y,N,Y,Computer Science,A,9/25/1991 0:00,2/7/2023 5:08
GICOMS,COMPUTER SCIENCE,BS    ,MINOR       ,GS  ,COMS,N,N,Y,Computer Science,I,3/21/2008 0:00,2/7/2023 5:08
GLCOMS,COMPUTER SCIENCE,PHM   ,MAJOR       ,GF  ,COMS,N,N,Y,Computer Science,A,9/25/1991 0:00,2/7/2023 5:08
GSCOMA,COMPUTER SCIENCE AND MATHEMATICS,BA    ,MAJOR       ,GS  ,COMS,Y,N,Y,Computer Science,A,2/2/2007 0:00,2/7/2023 5:08
GSCOMS,COMPUTER SCIENCE,BS    ,MAJOR       ,GS  ,COMS,Y,N,Y,Computer Science,I,10/7/1991 0:00,2/7/2023 5:08
GSCOST,COMPUTER SCIENCE AND STATISTICS,BA    ,MAJOR       ,GS  ,COMS,Y,N,Y,Computer Science,A,9/11/2013 0:00,2/7/2023 5:08
GSCSCA,COMPUTER SCIENCE,BA    ,MAJOR       ,GS  ,COMS,Y,N,Y,Computer Science,A,3/17/2014 0:00,2/7/2023 5:08
GSDTSC,DATA SCIENCE                                                     ,BA    ,MAJOR       ,GS  ,COMS,Y,N,Y,Computer Science,A,9/14/2016 0:00,2/7/2023 5:08
GSINFA,INFORMATION SCIENCES,BA    ,MAJOR       ,GS  ,COMS,Y,N,Y,Computer Science,A,3/17/2014 0:00,2/7/2023 5:08
GSINFS,INFORMATION SCIENCES,BS    ,MAJOR       ,GS  ,COMS,Y,N,Y,Computer Science,I,1/23/2009 0:00,2/7/2023 5:08
VMCOMS,COMPUTER SCIENCE,MS    ,MAJOR       ,EP  ,COMS,Y,N,Y,Computer Science,I,9/1/1996 0:00,2/7/2023 5:08
